Tahun,Quarter,Motorcycle Sales
2004,1,287596.66666666674
2004,2,317703.0
2004,3,357567.66666666674
2004,4,333024.33333333326
2005,1,383736.33333333326
2005,2,434769.0
2005,3,476636.66666666674
2005,4,396259.33333333326
2006,1,291269.33333333326
2006,2,312390.33333333326
2006,3,434916.66666666674
2006,4,437035.33333333326
2007,1,351783.66666666674
2007,2,353880.66666666674
2007,3,422867.33333333326
2007,4,434222.66666666674
2008,1,475530.0
2008,2,542912.6666666665
2008,3,583142.0
2008,4,470370.33333333326
2009,1,406068.0
2009,2,442885.0
2009,3,530939.0
2009,4,570762.0
2010,1,549961.6666666665
2010,2,649812.3333333335
2010,3,636927.6666666665
2010,4,620961.3333333335
2011,1,661933.3333333335
2011,2,690091.6666666665
2011,3,712876.0
2011,4,605945.6666666665
2012,1,643892.3333333335
2012,2,590225.6666666665
2012,3,542937.3333333335
2012,4,577763.6666666665
2013,1,653616.6666666665
2013,2,654281.6666666665
2013,3,622436.0
2013,4,650958.6666666665
2014,1,661358.6666666665
2014,2,739376.6666666665
2014,3,616875.3333333335
2014,4,604787.6666666665
2015,1,535014.3333333335
2015,2,523039.66666666674
2015,3,549009.6666666665
2015,4,552988.0
2016,1,501489.33333333326
2016,2,486140.0
2016,3,462836.33333333326
2016,4,526629.3333333335
2017,1,467179.33333333326
2017,2,433002.66666666674
2017,3,546568.6666666665
2017,4,515283.66666666674
2018,1,485831.33333333326
2018,2,515086.33333333326
2018,3,573163.0
2018,4,553623.0
2019,1,560484.6666666666
2019,2,515055.0
2019,3,564344.0
2019,4,597979.0
