Tahun,Quarter,Cement Consumption
2012,1,4167082.85
2012,2,4463426.306666666
2012,3,4525431.223333334
2012,4,5167218.903333333
2013,1,4529297.993333333
2013,2,4754592.394333333
2013,3,4581793.453333333
2013,4,5475524.746666666
2014,1,4692015.486666667
2014,2,4927750.796666666
2014,3,4683234.123333332
2014,4,5638693.86
2015,1,4656320.109999999
2015,2,4834059.475333334
2015,3,4892166.596
2015,4,6123725.228999999
2016,1,4873589.412
2016,2,4917926.727604549
2016,3,5043210.202544672
2016,4,5711705.778681479
2017,1,4918242.270417093
2017,2,4746508.602034361
2017,3,6145934.444900881
2017,4,6306255.454957564
2018,1,5240620.7637860915
2018,2,4771059.224254166
2018,3,6550483.333333333
2018,4,6601478.333333333
2019,1,5239994.666666667
2019,2,4588661.0
2019,3,6280852.0
