Tahun,Quarter,Pendapatan Nasional
2010,1,1167093
2010,2,1299215
2010,3,1361615
2010,4,1345003
2011,1,1361666
2011,2,1437041
2011,3,1575896
2011,4,1592570
2012,1,1497841
2012,2,1679461
2012,3,1666912
2012,4,1666181
2013,1,1631226
2013,2,1806285
2013,3,1887702
2013,4,1863345
2014,1,1825233
2014,2,2003370
2014,3,2084433
2014,4,1998896
2015,1,2016543
2015,2,2110470
2015,3,2208838
2015,4,2083733
2016,1,2203964
2016,2,2352764
2016,3,2425342
2016,4,2447019
2017,1,2468940
2017,2,2503302
2017,3,2594407
2017,4,2470384
2018,1,2650256
2018,2,2712067
2018,3,2796643
2018,4,2684484
2019,1,2790419
2019,2,2891740
