Tahun,Quarter,Motorcycle Sales
2004,1,287596.6666666667
2004,2,317703.0
2004,3,357567.6666666667
2004,4,333024.3333333333
2005,1,383736.3333333333
2005,2,434769.0
2005,3,476636.6666666667
2005,4,396259.3333333333
2006,1,291269.3333333333
2006,2,312390.3333333333
2006,3,434916.6666666667
2006,4,437035.3333333333
2007,1,351783.6666666667
2007,2,353880.6666666667
2007,3,422867.3333333333
2007,4,434222.6666666667
2008,1,475530.0
2008,2,542912.6666666666
2008,3,583142.0
2008,4,470370.3333333333
2009,1,406068.0
2009,2,442885.0
2009,3,530939.0
2009,4,570762.0
2010,1,549961.6666666666
2010,2,649812.3333333334
2010,3,636927.6666666666
2010,4,620961.3333333334
2011,1,661933.3333333334
2011,2,690091.6666666666
2011,3,712876.0
2011,4,605945.6666666666
2012,1,643892.3333333334
2012,2,590225.6666666666
2012,3,542937.3333333334
2012,4,577763.6666666666
2013,1,653616.6666666666
2013,2,654281.6666666666
2013,3,622436.0
2013,4,650958.6666666666
2014,1,661358.6666666666
2014,2,739376.6666666666
2014,3,616875.3333333334
2014,4,604787.6666666666
2015,1,535014.3333333334
2015,2,523039.6666666667
2015,3,549009.6666666666
2015,4,552988.0
2016,1,501489.3333333333
2016,2,486140.0
2016,3,462836.3333333333
2016,4,526629.3333333334
2017,1,467179.3333333333
2017,2,433002.6666666667
2017,3,546568.6666666666
2017,4,515283.6666666667
2018,1,485831.3333333333
2018,2,515086.3333333333
2018,3,573163.0
2018,4,553623.0
2019,1,560484.6666666666
2019,2,515055.0
