Tahun,Quarter,Minyak Goreng Curah
2010,3,9985.789473684208
2010,4,10518.37037037037
2011,1,14407.0
2011,2,10696.155172413792
2011,3,10664.67213114754
2011,4,10577.0
2012,1,11330.472727272727
2012,2,11596.193548387097
2012,3,11343.389830508477
2012,4,10496.186440677966
2013,1,9992.65
2013,2,10010.444444444445
2013,3,10178.892188448428
2013,4,10602.962264150943
2014,1,11446.553571428569
2014,2,11677.625
2014,3,11643.698113207549
2014,4,11344.450980392156
2015,1,11300.072727272727
2015,2,11221.55737704918
2015,3,10975.440677966102
2015,4,10564.516129032258
2016,1,10486.721311475409
2016,2,11346.666666666664
2016,3,11471.37931034483
2016,4,11597.301587301587
2017,1,12608.0
2017,2,12492.0
2017,3,12182.5
2017,4,12176.315789473683
2018,1,11941.176470588234
2018,2,11963.5593220339
2018,3,11675.806451612903
2018,4,11297.65625
2019,1,13210.655737704918
2019,2,13031.967213114754
2019,3,13187.878787878788
2019,4,13218.26923076923
