Tahun,Quarter,Gula Pasir
2010,3,10599.578947368422
2010,4,11055.444444444445
2011,1,14212.266666666666
2011,2,10623.206896551725
2011,3,10505.786885245901
2011,4,10448.59375
2012,1,10779.836363636363
2012,2,11825.354838709678
2012,3,12873.881355932202
2012,4,12458.694915254237
2013,1,12227.433333333332
2013,2,12338.015873015873
2013,3,12328.051874678993
2013,4,12109.962264150943
2014,1,11596.05357142857
2014,2,11274.625
2014,3,11077.212452830188
2014,4,11238.0
2015,1,11268.345454545455
2015,2,12513.590163934427
2015,3,12924.830508474577
2015,4,12776.774193548386
2016,1,13095.737704918032
2016,2,14636.825396825398
2016,3,15536.724137931034
2016,4,14267.111111111111
2017,1,13946.0
2017,2,13593.0
2017,3,13234.166666666666
2017,4,12810.526315789473
2018,1,12579.411764705883
2018,2,12840.677966101695
2018,3,12763.709677419354
2018,4,11952.34375
2019,1,11799.20634920635
2019,2,13283.898305084746
2019,3,13764.197530864198
2019,4,13753.947368421053
