Tahun,Quarter,Cabe Merah Biasa
2010,3,23676.736842105263
2010,4,23878.85185185185
2011,1,31335.866666666665
2011,2,16882.1724137931
2011,3,16404.950819672133
2011,4,25389.21875
2012,1,23347.145454545454
2012,2,24224.274193548383
2012,3,23157.57627118644
2012,4,19513.762711864405
2013,1,24793.68333333333
2013,2,28650.09523809524
2013,3,32636.978428351318
2013,4,34200.943396226416
2014,1,28270.107142857134
2014,2,21034.60714285714
2014,3,20343.56603773585
2014,4,47523.63549019608
2015,1,29125.83636363636
2015,2,28325.409836065566
2015,3,32410.983050847466
2015,4,27337.25806451613
2016,1,38368.75409836065
2016,2,31951.5873015873
2016,3,33670.1724137931
2016,4,45658.95238095238
2017,1,39587.0
2017,2,34621.0
2017,3,33339.166666666664
2017,4,33728.94736842105
2018,1,41483.333333333336
2018,2,43296.61016949154
2018,3,35219.354838709674
2018,4,33607.03125
2019,1,28824.590163934427
2019,2,40283.60655737705
2019,3,55893.181818181816
2019,4,40405.769230769234
