Tahun,Quarter,Bawang Merah
2010,3,16369.63158
2010,4,21101.01852
2011,1,22707.46667
2011,2,19256.5
2011,3,18312.18033
2011,4,14032.10938
2012,1,12628.07273
2012,2,15985.30645
2012,3,13876.81356
2012,4,14154.32203
2013,1,26099.88333
2013,2,34347.1746
2013,3,47557.28197
2013,4,28769.45283
2014,1,23689.21429
2014,2,23263.14286
2014,3,24054.90566
2014,4,19698.88235
2015,1,23649.72727
2015,2,31736.19672
2015,3,22047.8
2015,4,23518.3871
2016,1,35097.37705
2016,2,41358.25397
2016,3,41458.96552
2016,4,39051.25397
2017,1,36639
2017,2,32567.54
2017,3,31505
2017,4,25185.08772
2018,1,26284.31373
2018,2,36392.37288
2018,3,27258.06452
2018,4,25760.15625
2019,1,31619.84127
2019,2,38713.55932
2019,3,28243.82716
2019,4,24893.42105
