Tahun,Quarter,Minyak Dunia
2010,1,77.38140624999997
2010,2,78.43816091954024
2010,3,81.2813793103448
2010,4,92.25478260869566
2011,1,105.51781250000003
2011,2,117.01127906976744
2011,3,109.79022727272724
2011,4,107.73363636363639
2012,1,118.2787692307692
2012,2,107.4044827586207
2012,3,111.66863636363638
2012,4,109.17761904761903
2013,1,112.57078125
2013,2,104.4130681818182
2013,3,109.76252873563216
2013,4,110.75636363636364
2014,1,107.91718750000004
2014,2,109.34375
2014,3,92.5298837209302
2014,4,63.13478260869566
2015,1,55.16875000000002
2015,2,61.64454545454548
2015,3,48.01406976744187
2015,4,38.86000000000001
2016,1,35.31815384615385
2016,2,46.90686046511626
2016,3,48.16840909090909
2016,4,54.92727272727272
2017,1,54.60830769230769
2017,2,50.450348837209305
2017,3,56.93352272727271
2017,4,64.14714285714287
2018,1,67.27061538461537
2018,2,74.96402298850576
2018,3,74.83988636363638
2018,4,57.331428571428575
2019,1,63.83349206349208
2019,2,68.46765624999999
2019,3,62.03045454545454
2019,4,61.412884615384606
