Quarter,Tahun,Exchange Rate
1,2004,8473.333333333334
2,2004,8996.725274725275
3,2004,9148.782608695652
4,2004,9109.604395604396
1,2005,9273.944444444445
2,2005,9552.021978021978
3,2005,10009.16304347826
4,2005,9994.108695652174
1,2006,9299.011111111111
2,2006,9100.648351648351
3,2006,9126.869565217392
4,2006,9131.728260869566
1,2007,9105.877777777778
2,2007,8972.164835164835
3,2007,9249.271739130434
4,2007,9238.489130434782
1,2008,9254.406593406593
2,2008,9260.824175824177
3,2008,9224.271739130434
4,2008,11001.815217391304
1,2009,11618.577777777778
2,2009,10538.42857142857
3,2009,9985.902173913044
4,2009,9468.554347826086
1,2010,9265.6
2,2010,9115.076923076924
3,2010,8995.684782608696
4,2010,8965.70652173913
1,2011,8904.466666666667
2,2011,8591.472527472528
3,2011,8608.08695652174
4,2011,8982.782608695652
1,2012,9078.846153846154
2,2012,9309.10989010989
3,2012,9507.217391304348
4,2012,9645.619565217392
1,2013,9713.277777777777
2,2013,9802.65934065934
3,2013,10649.597826086956
4,2013,11611.097826086956
1,2014,11838.0
2,2014,11618.967032967033
3,2014,11758.630434782608
4,2014,12248.239130434782
1,2015,12803.488888888889
2,2015,13124.208791208792
3,2015,13849.032608695652
4,2015,13768.065217391304
1,2016,13522.483516483517
2,2016,13320.098901098901
3,2016,13135.010869565218
4,2016,13254.29347826087
1,2017,13350.855555555556
2,2017,13310.274725274725
3,2017,13330.510869565218
4,2017,13536.315217391304
1,2018,13575.322222222223
2,2018,13956.021978021978
3,2018,14604.70652173913
4,2018,14784.434782608696
1,2019,14138.355555555556
2,2019,14249.516483516483
3,2019,14132.04411764706
4,2019,9270.0
