Tahun,Quarter,DPK
2004,1,875132.0
2004,2,912787.0
2004,3,926433.0
2004,4,963106.0
2005,1,959251.0
2005,2,1011002.0
2005,3,1077542.0
2005,4,1127937.0
2006,1,1123869.0
2006,2,1168251.0
2006,3,1205486.0
2006,4,1287102.0
2007,1,1291379.0
2007,2,1355185.0
2007,3,1400800.0
2007,4,1510834.0
2008,1,1466224.0
2008,2,1554162.0
2008,3,1603452.0
2008,4,1753292.0
2009,1,1786157.0
2009,2,1823811.0
2009,3,1857251.0
2009,4,1973042.0
2010,1,1982262.0
2010,2,2096036.0
2010,3,2144064.0
2010,4,2338824.0
2011,1,2351357.0
2011,2,2438011.0
2011,3,2544862.0
2011,4,2784912.0
2012,1,2825975.0
2012,2,2955833.0
2012,3,3049956.0
2012,4,3225198.0
2013,1,3243136.0
2013,2,3374272.0
2013,3,3526188.0
2013,4,3663968.0
2014,1,3618064.0
2014,2,3834503.0
2014,3,3995803.0
2014,4,4114420.0
2015,1,4198577.0
2015,2,4319749.0
2015,3,4464083.0
2015,4,4413056.0
2016,1,4468955.0
2016,2,4574671.0
2016,3,4604579.0
2016,4,4836758.0
2017,1,4916665.0
2017,2,5045987.0
2017,3,5142891.0
2017,4,5289209.0
2018,1,5293098.47377077
2018,2,5398817.0
2018,3,5482492.84752301
2018,4,5630448.0
2019,1,5672886.30621206
2019,2,5799494.0
2019,3,5891918.0
2019,4,5882243.034
