Tahun,Quarter,IHK
2008,2,83.20470716426041
2008,3,85.60077295014982
2008,4,86.06184554617269
2009,1,86.37174679923727
2009,2,86.24325115772268
2009,3,88.02707300463086
2009,4,88.45791133206211
2010,1,89.33470512122038
2010,2,90.59698583492235
2010,3,93.12910582947424
2010,4,94.6105849904658
2011,1,95.27573889948242
2011,2,95.61587442113864
2011,3,97.42237196949058
2011,4,98.19334581857805
2012,1,99.05502247344047
2012,2,99.94693339689456
2012,3,101.62493530373196
2012,4,102.41102628711523
2013,1,104.89779487877962
2013,2,105.84261577226914
2013,3,110.15855761372923
2013,4,110.99
2014,1,111.37
2014,2,112.01
2014,3,113.89
2014,4,119.0
2015,1,118.48
2015,2,120.14
2015,3,121.67
2015,4,122.9
2016,1,123.75
2016,2,124.29
2016,3,125.41
2016,4,126.71
2017,1,128.22
2017,2,129.72
2017,3,130.08
2017,4,131.28
2018,1,132.58
2018,2,133.77
2018,3,133.83
2018,4,135.39
2019,1,135.87
