Wilayah,Tahun,Bulan,Tanggal,Bawang Merah,Bawang Putih,Beras,Cabai Merah,Cabai Rawit,Daging Ayam,Daging Sapi,Gula Pasir,Minyak Goreng,Telur Ayam
Indonesia,2016,7,1,45300,43150,11550,32600,40250,40000,121100,17800,14200,25450
Indonesia,2016,7,11,46300,40900,11600,35050,41850,40700,121550,17550,14150,23750
Indonesia,2016,7,12,47550,39100,11600,33550,37450,38650,121450,17550,14100,24050
Indonesia,2016,7,13,47550,38600,11600,32200,36150,37700,120850,17550,14100,24000
Indonesia,2016,7,14,43950,38900,11500,34800,38050,40200,116600,17500,14000,23900
Indonesia,2016,7,15,43950,38950,11500,35600,37050,39550,116200,17500,14000,23850
Indonesia,2016,7,18,44250,39100,11450,33200,36300,35850,116300,17300,13550,22250
Indonesia,2016,7,19,44750,39300,11450,32700,36100,35950,116200,17300,13500,22400
Indonesia,2016,7,20,44250,37750,11350,31300,35350,38500,113700,17250,13450,22350
Indonesia,2016,7,21,44250,37600,11350,31600,35400,35350,115400,17250,13450,22700
Indonesia,2016,7,22,43900,37800,11400,32500,35800,34950,115500,17200,13400,22450
Indonesia,2016,7,25,44400,37600,11300,33750,36750,34800,116150,17150,13250,22550
Indonesia,2016,7,26,44450,37650,11400,33850,36650,34750,115450,17150,13300,22650
Indonesia,2016,7,27,44500,37650,11350,33700,36350,34800,115600,17150,13250,22700
Indonesia,2016,7,28,44650,37550,11300,33900,36600,34800,115400,17100,13250,22800
Indonesia,2016,7,29,44400,37450,11300,33650,36800,34650,115650,17100,13250,23000
Indonesia,2016,8,1,44200,37200,11300,34400,38150,34400,115550,17100,13250,22900
Indonesia,2016,8,2,43950,36900,11300,34250,38300,34200,115450,17050,13250,23050
Indonesia,2016,8,3,43700,37100,11300,33800,38300,34150,115350,17050,13250,23050
Indonesia,2016,8,4,43500,36900,11300,33800,39050,34050,115300,17050,13250,23100
Indonesia,2016,8,5,42900,36750,11300,34150,38950,34100,115350,17050,13250,23100
Indonesia,2016,8,8,42050,36850,11300,35350,40850,34250,115250,17000,13300,23000
Indonesia,2016,8,9,41900,36800,11350,35400,41200,34150,115050,16950,13300,22950
Indonesia,2016,8,10,42150,37000,11300,35400,41050,34000,114700,16900,13350,22850
Indonesia,2016,8,11,41900,37050,11300,35250,41050,33900,114700,16900,13350,22750
Indonesia,2016,8,12,40950,36200,11250,34650,39950,33950,115050,16750,13250,22400
Indonesia,2016,8,15,41200,36650,11300,34600,41600,34300,114750,16700,13400,22600
Indonesia,2016,8,16,40850,36600,11350,35450,42200,34900,115100,16700,13450,22800
Indonesia,2016,8,18,40350,36100,11300,35100,41200,34300,114150,16650,13500,22550
Indonesia,2016,8,19,40300,36150,11250,34550,40350,34150,113850,16650,13500,22400
Indonesia,2016,8,22,39700,35950,11350,36050,41100,34400,114400,16600,13550,22150
Indonesia,2016,8,23,39700,36000,11350,36400,41100,33900,114500,16600,13650,22250
Indonesia,2016,8,24,39850,35900,11300,35850,40500,33350,114150,16550,13650,22150
Indonesia,2016,8,25,39750,35950,11300,35850,40250,33150,114450,16550,13650,22150
Indonesia,2016,8,26,39800,36000,11250,35700,39850,32800,113650,16600,13700,22100
Indonesia,2016,8,29,39750,35750,11300,36450,39300,32300,114600,16450,13700,21850
Indonesia,2016,8,30,39650,35600,11300,37100,39050,32100,114450,16450,13700,21850
Indonesia,2016,8,31,40000,35650,11300,37300,38950,31850,114450,16450,13750,21800
Indonesia,2016,9,1,40100,35950,11250,37650,38100,31600,114000,16350,13700,21700
Indonesia,2016,9,2,40500,36000,11300,38100,38250,31500,114050,16300,13750,21750
Indonesia,2016,9,5,41850,36650,11250,41750,38950,31600,114100,16250,13750,21850
Indonesia,2016,9,6,42050,36850,11250,43000,38900,31600,114150,16250,13750,21850
Indonesia,2016,9,7,42550,36950,11250,44700,38450,31700,114650,16200,13750,21850
Indonesia,2016,9,8,42550,37000,11250,45550,38150,32100,114300,16200,13800,21800
Indonesia,2016,9,9,42800,37150,11150,47150,37950,32300,114150,16250,13800,21800
Indonesia,2016,9,13,43000,37550,11150,47150,37550,33150,115150,16250,13800,21850
Indonesia,2016,9,14,42500,37500,11250,46100,38100,32850,115450,16200,13800,21800
Indonesia,2016,9,15,42450,37300,11250,44550,37550,32750,114900,16200,13800,21850
Indonesia,2016,9,16,42350,37200,11250,43450,36400,32500,114450,16200,13750,21850
Indonesia,2016,9,19,42000,37250,11250,39650,34100,32200,114000,16150,13750,21800
Indonesia,2016,9,20,41700,37200,11250,38550,33500,32000,113850,16100,13800,21800
Indonesia,2016,9,21,41800,37150,11250,41750,32650,32100,114000,16100,13800,21750
Indonesia,2016,9,22,41750,37200,11250,37900,32050,32150,114050,16100,13750,21700
Indonesia,2016,9,23,41700,37250,11250,37550,31700,32050,114200,16050,13750,21750
Indonesia,2016,9,26,41200,37200,11250,37650,31550,32050,113950,16000,13700,21600
Indonesia,2016,9,27,40600,36950,11250,37850,31250,31850,114000,16000,13700,21550
Indonesia,2016,9,28,40300,36900,11250,38450,31000,31650,114200,16000,13750,21550
Indonesia,2016,9,29,40050,37100,11250,39400,31200,31500,114200,16000,13700,21450
Indonesia,2016,9,30,40000,36900,11250,40100,31350,30900,114150,15950,13700,21450
Indonesia,2016,10,3,38800,36600,11250,41000,31100,30800,114200,15900,13650,21500
Indonesia,2016,10,4,38700,36650,11250,41650,30900,30750,114250,15900,13650,21450
Indonesia,2016,10,5,38300,36700,11250,41650,31650,30650,114350,15900,13700,21700
Indonesia,2016,10,6,37800,36500,11200,41750,31450,30650,114200,15850,13700,21650
Indonesia,2016,10,7,37700,36650,11200,41950,31350,30750,114050,15850,13700,21650
Indonesia,2016,10,10,37200,36600,11200,45400,31750,30800,114000,15800,13700,21600
Indonesia,2016,10,11,37100,36600,11200,46800,32200,31000,114000,15800,13700,21550
Indonesia,2016,10,12,36750,36750,11200,46950,32250,31100,113950,15750,13650,21600
Indonesia,2016,10,13,36600,36950,11200,47400,32600,31200,114000,15750,13650,21600
Indonesia,2016,10,14,36800,36950,11200,47500,33200,31250,113950,15800,13650,21600
Indonesia,2016,10,17,36650,37000,11200,48850,35700,31800,113850,15750,13650,21550
Indonesia,2016,10,18,36500,36900,11200,49700,35900,31800,113950,15750,13650,21550
Indonesia,2016,10,19,36550,36950,11250,50000,36250,31950,113850,15700,13650,21550
Indonesia,2016,10,20,35850,36800,11250,50350,36750,31750,113900,15700,13650,21550
Indonesia,2016,10,21,35700,36650,11250,50550,36900,31850,113800,15700,13600,21450
Indonesia,2016,10,24,35550,36800,11250,51250,38350,31500,113900,15700,13600,21450
Indonesia,2016,10,25,35950,36850,11200,51700,38550,31400,113950,15650,13600,21450
Indonesia,2016,10,26,36600,36850,11250,52050,38750,31050,113900,15650,13600,21450
Indonesia,2016,10,27,36450,36700,11250,51650,39150,31000,113900,15650,13600,21450
Indonesia,2016,10,28,36750,36700,11250,51350,39350,30850,113950,15650,13600,21350
Indonesia,2016,10,31,37550,36700,11200,53050,40300,30650,113900,15600,13600,21400
Indonesia,2016,11,1,37750,36700,11200,53050,40450,30600,113700,15600,13600,21350
Indonesia,2016,11,2,38150,36950,11200,54500,41550,30650,114050,15600,13650,21300
Indonesia,2016,11,3,38350,37050,11200,55800,42300,30600,113750,15650,13600,21300
Indonesia,2016,11,4,39250,37150,11200,56750,43600,30750,113900,15550,13600,21250
Indonesia,2016,11,7,40600,37200,11250,58500,47100,32750,112800,15550,13600,21450
Indonesia,2016,11,8,40950,37300,11200,58850,47750,32850,112800,15550,13600,21450
Indonesia,2016,11,9,41200,37350,11200,58850,47250,32900,112800,15500,13600,21450
Indonesia,2016,11,10,41800,37450,11200,57800,47400,32900,112750,15500,13600,21450
Indonesia,2016,11,11,42350,37700,11200,57700,47900,33000,112750,15500,13600,21400
Indonesia,2016,11,14,43500,38050,11250,57500,47700,33100,112550,15500,13600,21400
Indonesia,2016,11,15,43550,38350,11250,57900,48400,33250,112550,15450,13600,21400
Indonesia,2016,11,16,43500,37900,11250,58500,48350,31350,114000,15500,13600,21200
Indonesia,2016,11,17,43550,38100,11250,57950,47900,31500,113350,15450,13600,21200
Indonesia,2016,11,18,43800,38100,11250,58100,47550,31400,113350,15500,13600,21350
Indonesia,2016,11,21,43650,38100,11250,58550,47650,31500,113600,15450,13600,21150
Indonesia,2016,11,22,43600,38400,11250,58100,47250,31200,113500,15450,13600,21350
Indonesia,2016,11,23,43450,38350,11200,57100,46250,31050,113450,15450,13600,21350
Indonesia,2016,11,24,43300,38400,11250,55950,46050,30950,113550,15450,13600,21350
Indonesia,2016,11,25,43150,38450,11250,55150,45950,30950,113500,15450,13600,21350
Indonesia,2016,11,28,42850,38550,11250,52850,45150,30750,113450,15400,13600,21400
Indonesia,2016,11,29,42500,38550,11200,52350,45700,30850,114050,15450,13600,21200
Indonesia,2016,11,30,42450,38850,11250,51150,44350,30800,113450,15450,13600,21300
Indonesia,2016,12,1,42100,38750,11200,50950,44850,31000,113600,15400,13600,21300
Indonesia,2016,12,2,42100,38750,11200,50450,44950,31000,113400,15450,13600,21350
Indonesia,2016,12,5,41600,38800,11200,50750,44650,31200,113300,15400,13750,21300
Indonesia,2016,12,6,41200,38700,11150,51200,45700,31500,113850,15400,13700,21500
Indonesia,2016,12,7,41200,38950,11200,50450,46050,31550,113550,15400,13700,21650
Indonesia,2016,12,8,41100,38900,11200,49950,47100,31650,113600,15400,13750,21800
Indonesia,2016,12,9,40900,38950,11200,49850,47450,31700,113450,15400,13750,21900
Indonesia,2016,12,13,41150,38850,11200,48200,49800,32250,113400,15400,13900,22350
Indonesia,2016,12,14,40700,38750,11250,47850,50250,32350,113350,15450,13650,22500
Indonesia,2016,12,15,40650,38900,11200,47650,50650,32450,113400,15400,13650,22550
Indonesia,2016,12,16,40550,39000,11200,47700,51600,32550,113400,15450,13650,22700
Indonesia,2016,12,19,39850,38650,11200,47200,53500,32950,114350,15450,13650,23300
Indonesia,2016,12,20,39800,38900,11200,46450,53850,33000,113800,15450,13650,23400
Indonesia,2016,12,21,39250,38950,11250,46300,55300,33350,113900,15400,13700,23750
Indonesia,2016,12,22,39150,38850,11200,45500,56050,33450,113850,15450,13700,23750
Indonesia,2016,12,23,39550,39050,11250,45500,57000,33500,113850,15450,13750,24000
Indonesia,2016,12,27,38400,39450,11200,42900,59000,34000,114200,15450,13750,24050
Indonesia,2016,12,28,38200,39550,11200,42500,61100,34200,113950,15450,13750,24150
Indonesia,2016,12,29,38050,39450,11150,42200,60950,34200,113600,15500,13700,24100
Indonesia,2016,12,30,38150,39050,11200,41800,61750,34500,114200,15450,13750,24200
Indonesia,2017,1,3,37300,39150,11200,43050,65650,34700,113750,15450,13700,23550
Indonesia,2017,1,4,37350,39400,11200,42400,69750,34550,113700,15450,13750,23350
