Tahun,Quarter,IHK
2009,2,3.651889534883712
2009,3,2.834437086092678
2009,4,2.7841208501668824
2010,1,3.4304716898573506
2010,2,5.048203330411916
2010,3,5.795981452859378
2010,4,6.95548150046994
2011,1,6.650308824773643
2011,2,5.539796429167376
2011,3,4.610015420826241
2011,4,3.7868498841575837
2012,1,3.966679888932978
2012,2,4.529644268774713
2012,3,4.3137559158973104
2012,4,4.295281348625979
2013,1,5.8985120183136175
2013,2,5.898812674884701
2013,3,8.397173670509472
2013,4,8.377001992766985
2014,1,6.170010655323788
2014,2,5.8269385943754415
2014,3,3.3873377312682917
2014,4,7.216866384358966
2015,1,6.384124988776141
2015,2,7.25828051066868
2015,3,6.831152866801293
2015,4,3.2773109243697585
2016,1,4.44800810263335
2016,2,3.454303312801743
2016,3,3.07388838661955
2016,4,3.100081366965002
2017,1,3.612121212121222
2017,2,4.368814868452797
2017,3,3.723785981979111
2017,4,3.606660879172918
2018,1,3.400405552955865
2018,2,3.12210915818687
2018,3,2.882841328413277
2018,4,3.1307129798902933
2019,1,2.48152059134108
2019,2,3.281752261344084
2019,3,3.392363446163027
2019,4,2.3709284289829435
