Tahun,Quarter,National Income
2011,1,16.67159343771234
2011,2,10.608405845067992
2011,3,15.737267876749295
2011,4,18.406427346258702
2012,1,10.00061689136691
2012,2,16.869386468444535
2012,3,5.775508028448573
2012,4,4.622151616569448
2013,1,8.905150813737905
2013,2,7.551470382462
2013,3,13.245450269720305
2013,4,11.833288220187367
2014,1,11.893324407531502
2014,2,10.911068851261007
2014,3,10.421719106087712
2014,4,7.274605615170571
2015,1,10.481401552568915
2015,2,5.345992003474143
2015,3,5.968289697965834
2015,4,4.244192794422519
2016,1,9.29417324599575
2016,2,11.480570678569224
2016,3,9.801714747754243
2016,4,17.434383387890872
2017,1,12.022700915259964
2017,2,6.398346795513699
2017,3,6.970769483231654
2017,4,0.9548352505640567
2018,1,7.343880369713318
2018,2,8.339585076031586
2018,3,7.795076100241793
2018,4,8.666668825575297
2019,1,5.288658906913146
2019,2,6.624946950056909
2019,3,0.7958470208746737
